Key,Source,Context,Changes,English,Russian

gunMGT4M60Imp,items,Gun,,M60 Machine Gun [DECEA3]Improved[-],Пулемет М60 [DECEA3]Улучшенный[-]
gunMGT4M60ImpDesc,items,Gun,,"Improved model of the M60 machine gun.\nAll main characteristics have been increased. The rate of fire has been significantly increased. Improved ease of aiming.\nThis is the best weapon you could ever dream of.","Улучшенная модель пулемета M60.\nУвеличены все основные характеристики. Значительно увеличена скорострельноть. Повышено удобство прицеливания.\nЭто лучшее оружие о котором вы могли мечтать."
gunMGT5M60Bulldog,items,Gun,,Machine Gun [FFB800]Bulldog[-],Пулемет [FFB800]Бульдог[-]
gunMGT5M60BulldogDesc,items,Gun,,"Experimental Bulldog model.\nAllows firing with .44 caliber ammunition. The main characteristics have been significantly improved. When you hit an enemy, it causes them to bleed and slows them down for 6 seconds.\nThe best way to negotiate with any horde, on your terms.","Экспериментальная модель Бульдог.\nПозволят вести огонь боеприпасами .44 калибра. Значительно улучшены основные характеристики. При попадании по противнику вызывает у него кровотечение и замедляет на 6 сек.\nЛучший способ вести переговоры с любой ордой, на ваших условиях."

gunShotgunT4AutoShotgunImp,items,Gun,,Auto shotgun [DECEA3]Improved[-],Автоматический дробовик [DECEA3]Улучшенный[-]
gunShotgunT4AutoShotgunImpDesc,items,Gun,,"Improved model of an automatic shotgun.\nDamage, rate of fire and magazine capacity have been increased. Thanks to improved balancing, you will be able to deal damage at a greater distance.","Улучшенная модель автоматического дробовика.\nУвеличен урон, скорострельность и вместимость магазина. Благодаря улучшению балансировки вы сможете наносить урон на большей дистанции."
gunShotgunT5AutoShotgunEraser,items,Gun,,Auto shotgun [FFB800]Eraser[-],Автоматический дробовик [FFB800]Стиратель[-]
gunShotgunT5AutoShotgunEraserDesc,items,Gun,,"Experimental model Eraser is the optimal weapon for firing at large concentrations of enemies at short and medium distances. A significant increase in the main indicators allows you not to kill, but to Delete.","Экспериментальная модель Стиратель оптимальное оружие для ведения огня по большому скоплению противников на малой и средней дистанциях. Значительное увеличение основных показателей позволяет не убивать, а Удалять."

gunRifleT4SniperRifleImp,items,Gun,,Sniper rifle [DECEA3]Improved[-],Снайперская винтовка [DECEA3]Улучшенная[-]
gunRifleT4SniperRifleImpDesc,items,Gun,,"An improved model of a sniper rifle.\nAn increased magazine and rate of fire allows you to deal significantly more damage to targets. Thanks to improved balancing, you can riddle your target at any distance.","Улучшенная модель снайперской винтовки.\nУвеличенный магазин и скорострельность позволяет наносить по целям значительно больше урона. Благодаря улучшению балансировки вы можете изрешетить свою цель на любой дистанции."
gunRifleT5SniperRifleGaus,items,Gun,,Sniper rifle [FFB800]Gaus[-],Снайперская винтовка [FFB800]Гаус[-]
gunRifleT5SniperRifleGausDesc,items,Gun,,"The experimental Gaus model is the most powerful weapon in terms of causing damage in 1 shot. The enemy literally will not be able to prevent this from happening.\nEliminating targets with a large supply of HP will not be a problem.","Экспериментальная модель Гаус самое мощное оружие по нанесению урона за 1 выстрел. Противник в буквальном смысле не сможет устроять от такого.\nЛиквидация целей с большим запасом ОЗ не будет проблемой."

gunHandgunT4SMG5Imp,items,Gun,,SMG-5 [DECEA3]Improved[-],ПП-5 [DECEA3]Улучшенный[-]
gunHandgunT4SMG5ImpDesc,items,Gun,,"An improved model of a semi-automatic pistol SMG-5.\nAn increased magazine and rate of fire allows you to deal significantly more damage to targets. Thanks to improved balancing, weapon spread has been reduced.","Улучшенная модель полуавтоматического пистолета SMG-5.\nУвеличенный магазин и скорострельность позволяет наносить по целям значительно больше урона. Благодаря улучшению балансировки уменьшен разброс оружия."
gunHandgunT5SMG5Zinger,items,Gun,,SMG-5 [FFB800]Zinger[-],ПП-5 [FFB800]Зингер[-]
gunHandgunT5SMG5ZingerDesc,items,Gun,,"The experimental Zinger model.\nBecause of its rate of fire, many stalkers named the model after a fast and reliable sewing machine. And for good reason.\nVery quick and easy - an ideal gift for zombies if you decide to visit them.","Экспериментальная модель Зингер.\nИз-за своей скорострельности многие сталкеры назвали модель в честь быстрой и надежной швейной машинки. И не зря.\nОчень быстрый и легкий - идельный подарок для зомби, если вы решите зайти к ним в гости."

gunBowT4CompoundBowImp,items,Gun,,Composite bow [DECEA3]Improved[-],Композитный лук [DECEA3]Улучшенный[-]
gunBowT4CompoundBowImpDesc,items,Gun,,"Improved model of the composite bow.\nIncreased damage and rate of fire. Damage from stealth has been increased by 50%.\nThe ideal weapon for silent clearing.","Улучшенная модель композитного лука.\nУвеличен урон и скорострельность. Урон из стелся увеличен на 50%.\nИдельное оружие для безшумной зачистки."
gunBowT4CompoundCrossbowImp,items,Gun,,Composite crossbow [DECEA3]Improved[-],Композитный арбалет [DECEA3]Улучшенный[-]
gunBowT4CompoundCrossbowImpDesc,items,Gun,,"Improved model of a composite crossbow.\nRate of fire and penetration of target armor have been significantly increased. Damage from stealth has been increased by 50%.\nThe ideal weapon for silent clearing.","Улучшенная модель композитного арбалета.\nЗначительно увеличена скорострельность и пробитие брони цели. Урон из стелся увеличен на 50%.\nИдельное оружие для безшумной зачистки."
gunBowT5CompoundCrossbowMantis,items,Gun,,Crossbow [FFB800]Mantis[-],Арбалет [FFB800]Мантис[-]
gunBowT5CompoundCrossbowMantisDesc,items,Gun,,"Experimental model of the Mantis crossbow.\nAll main indicators have been significantly increased. Damage from stealth has been increased by 50%.\nEliminating quickly and silently a large number of sleeping enemies will no longer be a problem for you.","Экспериментальная модель арбалета Мантис.\nЗначительно увеличены все основные показатели. Урон из стелся увеличен на 50%.\nЛиквидировать быстро и безшумно большое количество спящих противников теперь не будет для вас проблемой."





gunBowT5CompoundCrossbowMantis,items,Gun,,Crossbow [FFB800]Mantis[-],Арбалет [FFB800]Мантис[-]
gunBowT5CompoundCrossbowMantisDesc,items,Gun,,"Experimental model of the Mantis crossbow.\nAll main indicators have been significantly increased. In addition, you will be able to simultaneously charge up to 10 bolts.\nEliminating quickly and silently a large number of sleeping opponents will no longer be a problem for you.","Экспериментальная модель арбалета Мантис.\nЗначительно увеличены все основные показатели. Кроме этого вы сможете одновременно заряжать до 10 болтов.\nЛиквидировать быстро и безшумно большое количество спящих противников теперь не будет для вас проблемой."






masterMachineGunsSkillMagazine,items,Gun,,Machine gun master,Мастер пулеметов
masterMachineGunsSkillMagazineDesc,items,Gun,,"In magazines about assault weapons, you can find small articles on how people independently improve factory weapons.\n\nHaving collected a sufficient number of articles, you will be able to improve machine guns or create experimental models.","В журналах про штурмовое оружие, можной найти небольшие статьи как люди самостоятельно улучшают заводское оружие.\n\nСобрав достаточное количество статей вы сможете улучшать пулементы или создать экспериментальные модели."

MasterShotgunsSkillMagazine,items,Gun,,Shotguns master,Мастер дробовиков
MasterShotgunsSkillMagazineDesc,items,Gun,,"In magazines about shotguns, you can find small articles on how people independently improve factory weapons.\n\nHaving collected a sufficient number of articles, you can improve shotguns or create experimental models.","В журналах про дробовики, можной найти небольшие статьи как люди самостоятельно улучшают заводское оружие.\n\nСобрав достаточное количество статей вы сможете улучшать дробовики или создать экспериментальные модели."

MasterRiflesSkillMagazine,items,Gun,,Rifles master,Мастер винтовок
MasterRiflesSkillMagazineDesc,items,Gun,,"In magazines about the world of rifles, you can find small articles on how people independently improve factory weapons.\n\nHaving collected a sufficient number of articles, you can improve sniper rifles or create experimental models.","В журналах о мире винтовок, можной найти небольшие статьи как люди самостоятельно улучшают заводское оружие.\n\nСобрав достаточное количество статей вы сможете улучшать снайперские винтовки или создать экспериментальные модели."

MasterHandgunsSkillMagazine,items,Gun,,Handguns master,Мастер ручного оружия
MasterHandgunsSkillMagazineDesc,items,Gun,,"In magazines about hand weapons, you can find small articles on how people independently improve factory models of weapons.\n\nHaving collected a sufficient number of articles, you can improve automatic pistols or create experimental models.","В журналах о ручном оружии, можной найти небольшие статьи как люди самостоятельно улучшают заводские модели оружия.\n\nСобрав достаточное количество статей вы сможете улучшать автоматические пистолеты или создать экспериментальные модели."

MasterBowsSkillMagazine,items,Gun,,Archery master,Мастер стрельбы из луков
MasterBowsSkillMagazineDesc,items,Gun,,"In archery enthusiasts' magazines, you can find small articles on how people improve their weapons on their own.\n\nHaving collected a sufficient number of articles, you can improve your bow and crossbow, or create experimental models.","В журналах любителей стрельбы из лука, можной найти небольшие статьи как люди самостоятельно улучшают свое оружие.\n\nСобрав достаточное количество статей вы сможете улучшать свой лук и арбалет, или создать экспериментальные модели."

attmaster,progression,Attribute,,Master skills,Навыки мастера
bowsT1,progression,Attribute,,Improved bows and crossbows,Улучшенные луки и арбалеты

MasterMachineGunsName,progression,Attribute,,Master Machine Guns,Мастер пулеметов
MasterMachineGunsDesc,progression,Attribute,,"The skill [DECEA3]Machine Gunner lvl.5[-] makes it possible to create magazines [DECEA3]Machine Gun Master[-]\nReading these magazines improves the quality of the weapons you upgrade.","Умение [DECEA3]Пулеметчик ур.5[-] дает возможность создавать журналы [DECEA3]Мастер пулеметов[-]\nЧтение этих журналов повышает качество улучшаемого оружия."
MasterCraftingShotgunName,progression,Attribute,,Master Shotguns,Мастер дробовиков
MasterCraftingShotgunDesc,progression,Attribute,,"The skill [DECEA3]Boomstick lvl.5[-] makes it possible to create magazines [DECEA3]Shotguns master[-]\nReading these magazines improves the quality of the weapons you upgrade.","Умение [DECEA3]Бумпалка ур.5[-] дает возможность создавать журналы [DECEA3]Мастер дробовиков[-]\nЧтение этих журналов повышает качество улучшаемого оружия."
MasterCraftingRifleName,progression,Attribute,,Master Rifles,Мастер винтовок
MasterCraftingRifleDesc,progression,Attribute,,"The skill [DECEA3]Dead Eye lvl.5[-] makes it possible to create magazines [DECEA3]Rifles master[-]\nReading these magazines improves the quality of the weapons you upgrade.","Умение [DECEA3]Безжалостный снайпер ур.5[-] дает возможность создавать журналы [DECEA3]Мастер винтовок[-]\nЧтение этих журналов повышает качество улучшаемого оружия."
MasterCraftingHandgunsName,progression,Attribute,,Master Handguns,Мастер ручного оружия
MasterCraftingHandgunsDesc,progression,Attribute,,"The skill [DECEA3]Gunslinger lvl.5[-] makes it possible to create magazines [DECEA3]Handguns master[-]\nReading these magazines improves the quality of the weapons you upgrade.","Умение [DECEA3]Короткоствол ур.5[-] дает возможность создавать журналы [DECEA3]Мастер ручного оружия[-]\nЧтение этих журналов повышает качество улучшаемого оружия."
MasterCraftingBowsName,progression,Attribute,,Master Archery,Мастер стрельбы из луков
MasterCraftingBowsDesc,progression,Attribute,,"The skill [DECEA3]Archery lvl.5[-] makes it possible to create magazines [DECEA3]Bows master[-]\nReading these magazines improves the quality of the weapons you upgrade.","Умение [DECEA3]Стрельбы из лука ур.5[-] дает возможность создавать журналы [DECEA3]Мастер луков и арбалетов[-]\nЧтение этих журналов повышает качество улучшаемого оружия."


